Account Owner,Account Name,Sector,Supplier ,Current ACV,Potential ACV,
Natalie Stevens,"RunFibre (Bristol, England)",Telco,,0.00,278150.00,
Fiona Frost,RWE,Renewables,,0.00,614400.00,
Ben Ruhrmund,RWE Generation UK PLC,Renewables,Idox,6053.06,614400.00,
Ben Ruhrmund,RWE Renewables Management UK Limited,Renewables,Idox,22330.56,614400.00,
Ben Ruhrmund,RWE Renewables UK Solar and Storage Limited,Renewables,Idox,106194.53,614400.00,
Ben Ruhrmund,"Rymote (Durham, England)",Telco,,0.00,278150.00,
Daniel Clements,SABIC,Energy,,0.00,208150.00,
Ben Ruhrmund,Sainsbury's Energy ,Energy,,0.00,614400.00,
Daniel Clements,"SAQ (Hampshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,SAS Associates,Infrastructure (Transport),,0.00,208150.00,
Natalie Stevens,"Save9 (North Yorkshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Scot-Tel Gould (Cornwall, England)",Telco,,0.00,278150.00,
Natalie Stevens,Scottish & Southern Electricity Networks (SSEN),Energy,Landmark,930000.00,614400.00,
Natalie Stevens,SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,Energy,Idox,0.00,614400.00,
Daniel Clements,Scottish Power Renewables (UK) Ltd,Renewables,Idox,75765.62,614400.00,
Tony Mabey,Scottish Power UK Ltd (SPEN) - OS Migration,Energy,Ordnance Survey,774242.00,591900.00,
Daniel Clements,Seabank,Renewables,,,208150.00,
Daniel Clements,"Seethelight (Suffolk, England)",Telco,,,278150.00,
Natalie Stevens,SES Water,Water/Waste,ESRI,45000.00,711900.00,
Daniel Slater,Severn Trent Water,Water/Waste,,,711900.00,
Daniel Clements,SGN,Energy,,,614400.00,
Tony Mabey,SGN Scotia Gas Networks - OS Migration,Energy,Idox,839001.00,614400.00,
Natalie Stevens,Shell Energy,Energy,,0.00,614400.00,
Conor Fitzpatrick,Singleton Clamp & Partners Limited,Infrastructure (Transport),Idox,8491.45,208150.00,
Nancy Chirau,Sizewell C Limited,Energy,Idox,12286.32,410600.00,
Tony Mabey,Sky UK Limited - OS Migration,Telco,Ordnance Survey,302793.00,801900.00,
Daniel Clements,"Smartfibre (London, England)",Telco,,,278150.00,
Natalie Stevens,"Smarty (Maidenhead, Berkshire, England)",Telco,,,278150.00,
Daniel Clements,So Energy,Energy,,,410600.00,
Tony Mabey,South East Water - OS Migration,Water/Waste,Idox,173409.35,475600.00,
Natalie Stevens,South Staffordshire Water,Water/Waste,ESRI,283000.00,240650.00,
Tony Mabey,South West Water Limited - OS Migration,Water/Waste,Ordnance Survey,297925.00,689400.00,
Ben Ruhrmund,Southern Water Services Ltd,Water/Waste,Idox,407705.99,711900.00,
Ben Ruhrmund,SP Energy,Energy,,0.00,208150.00,
Natalie Stevens,Spectrum Fibre Limited T/A Ogi,Telco,Idox,60324.11,824400.00,
Ben Ruhrmund,"Speednet Scotland (Ayrshire, Scotland)",Telco,,0.00,278150.00,
Daniel Clements,"Spitfire (London, England)",Telco,,0.00,278150.00,
Daniel Clements,Spring Fibre,Telco,,0.00,278150.00,
Ben Ruhrmund,Squire Energy,Energy,,0.00,208150.00,
Natalie Stevens,"Squirrel Internet (Rutland, England)",Telco,,0.00,278150.00,
Natalie Stevens,SSE Generation Ltd,Renewables,Idox,0.00,614400.00,
Natalie Stevens,SSE Renewables Services (UK) Limited,Renewables,Idox,57609.38,614400.00,
Natalie Stevens,SSE Renewables Services (UK) Limited,Renewables,Idox,156356.38,614400.00,
Natalie Stevens,SSE Thermal,Renewables,Idox,0.00,614400.00,
Natalie Stevens,SSE Utility Solutions,Renewables,,0.00,614400.00,
Ben Ruhrmund,Star Energy Group,Energy,,0.00,208150.00,
Ben Ruhrmund,Starlink (USA),Telco,,0.00,278150.00,
Nancy Chirau,Statkraft UK Ltd,Renewables,Idox,16471.03,208150.00,
Daniel Clements,"Stix Internet (Northern Fibre) ( Huddersfield, Yorkshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,Storengy,Energy,,0.00,208150.00,
Natalie Stevens,"Stream Networks (Newbury, Berkshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,Structured Communications,Telco,,0.00,278150.00,
Ben Ruhrmund,"Superhero Broadband (Needham Market, Suffolk, England)",Telco,,0.00,278150.00,
Tony Mabey,Sutton and East Surrey Water - OS Migration,Water/Waste,Ordnance Survey,33792.00,689400.00,
Ben Ruhrmund,SWALEC,Energy,,0.00,208150.00,
Ben Ruhrmund,"SWS Broadband (Shropshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Symmetris (Beverley, East Yorkshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Syscomm,Telco,,0.00,278150.00,
Daniel Clements,"Talk Home (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Talkmobile (Newbury, Berkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,TalkTalk,Telco,,0.00,824400.00,
Daniel Clements,TATA Communications,Telco,,0.00,550600.00,
Conor Fitzpatrick,TDS Southern Ltd.,Infrastructure (Transport),Idox,23215.65,208150.00,
Natalie Stevens,"Technological (London, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Telcom (ClearFibre, WeFibre) (Manchester, England)",Telco,,0.00,278150.00,
Daniel Clements,"Tesco Mobile (Welwyn Garden City, Hertfordshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Thames Water,Water/Waste,ESRI,750000.00,711900.00,
Natalie Stevens,"The 4th Utility (Cheshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"ThinkingWISP (Norfolk, England)",Telco,,0.00,278150.00,
Fiona Frost,Thistle Wind Partners Limited,Renewables,Idox,0.00,208150.00,
Daniel Clements,"Three (Glasgow, Scotland)",Telco,,0.00,278150.00,
Fiona Frost,Toob Ltd,Telco,Idox,0.00,550600.00,
Natalie Stevens,TOTAL,Energy,,0.00,410600.00,
Natalie Stevens,Total Gas and Power ,Energy,,0.00,410600.00,
Ben Ruhrmund,"Total Web Solutions (Cheshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Tove Valley Broadband (Northamptonshire, England)",Telco,,0.00,278150.00,
Chloe Lockett,Traffic Management Design Services Ltd,Infrastructure (Transport),Idox,5125.98,208150.00,
Daniel Clements,Transmission Capital,Energy,,0.00,208150.00,
Natalie Stevens,"Transmitair (Fife, Scotland)",Telco,,0.00,278150.00,
Ben Ruhrmund,Transport for London (TfL),Infrastructure (Transport),,0.00,410600.00,
Natalie Stevens,Trojan Energy,Energy,,0.00,208150.00,
Ben Ruhrmund,"Trooli (East Peckham, Kent, England)",Telco,,0.00,278150.00,
Fiona Frost,Truespeed Communications Limited,Telco,Idox,12750.72,278150.00,
Daniel Slater,Trustmarque Solutions Ltd,Water/Waste,Idox,884495.68,711900.00,
Natalie Stevens,"TxRx Communications (Hampshire, England)",Telco,,0.00,278150.00,
Integration User,Tyler Hill Consulting Limited,Infrastructure (Transport),Idox,0.00,208150.00,
Ben Ruhrmund,"UK Fibre Networks (York, Yorkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,UK Power Networks,Energy,,0.00,614400.00,
Tony Mabey,UKPN Eastern Power Networks - OS Migration,Energy,Ordnance Survey,769428.00,591900.00,
Tony Mabey,UKPN London Power Networks - OS Migration,Energy,Ordnance Survey,72688.00,591900.00,
Tony Mabey,UKPN South Eastern Power Networks - OS Migration,Energy,Ordnance Survey,360808.00,591900.00,
Daniel Clements,"Unchained ISP (Leeds, England)",Telco,,,278150.00,
Ben Ruhrmund,Uniper,Telco,Idox,0.00,278150.00,
Daniel Clements,United Utilities Water Limited,Energy,Landmark,520000.00,614400.00,
Natalie Stevens,Uno,Telco,,0.00,278150.00,
Natalie Stevens,"uno (Sheffield, Yorkshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Upp (Peterborough, England)",Telco,,0.00,278150.00,
Daniel Clements,"Userve Internet (Shropshire, England)",Telco,,0.00,278150.00,
Daniel Clements,Utilita Energy,Energy,,0.00,410600.00,
Ben Ruhrmund,Utility Warehouse,Telco,,0.00,550600.00,
Ben Ruhrmund,Vald Energy ,Energy,,0.00,208150.00,
Natalie Stevens,Vattenfall Wind Power Ltd,Renewables,Idox,50025.07,410600.00,
Natalie Stevens,"Velocity 1 (London, England)",Telco,,0.00,278150.00,
,Veolia,Infrastructure (Transport),,0.00,208150.00,
,Viking Link,Energy,,0.00,208150.00,
Ben Ruhrmund,"virair (Preston, Lancashire, England)",Telco,,0.00,278150.00,
Tony Mabey,Virgin Media,Telco,Europa,1800000.00,824400.00,
Conor Fitzpatrick,Vital Energi Utilities Ltd,Energy,Idox,9939.74,208150.00,
Daniel Clements,Vodafone,Telco,Idox,0.00,824400.00,
Fiona Frost,Voneus,Telco,Unknown,50000.00,278150.00,
Tony Mabey,Vorboss,Telco,Idox,42256.59,278150.00,
,VPI,Energy,,0.00,614400.00,
Daniel Clements,"W3Z (Derbyshire, England)",Telco,,0.00,550600.00,
Natalie Stevens,Wales & West Utilities Limited,Energy,Idox,567109.17,614400.00,
Adam Loverock,Walk Wheel Cycle Trust,Infrastructure (Transport),Idox,20735.09,208150.00,
,Welsh Power,Energy,,0.00,410600.00,
Tony Mabey,Wessex Water - OS Migration,Water/Waste,Europa,293845.00,711900.00,
,West Of Duddon Sands,Renewables,,0.00,208150.00,
,West Sussex County Council,Infrastructure (Transport),,0.00,208150.00,
Fiona Frost,Wightfibre Limited,Telco,Idox,9085.78,278150.00,
Nancy Chirau,Wind 2 Limited,Renewables,Idox,15671.53,208150.00,
Natalie Stevens,XAIS-PTS LTD,Infrastructure (Transport),Idox,6000.00,208150.00,
Tony Mabey,Yorkshire Water Services - OS Migration,Water/Waste,Ordnance Survey,62143.00,689400.00,
Natalie Stevens,"YouFibre (London, England)",Telco,,0.00,278150.00,
Daniel Clements,Your Coop Broadband,Telco,,0.00,278150.00,
Natalie Stevens,Yu Energy ,Energy,,0.00,208150.00,
,Zayo,Telco,,0.00,278150.00,
Natalie Stevens,Zen,Telco,,0.00,278150.00,
Ben Ruhrmund,"Zone Broadband (Northumberland, England)",Telco,,0.00,278150.00,
Daniel Clements,Zzoomm Plc,Telco,Idox,23764.33,550600.00,
